customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,received_at
1024-GUALD,Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,33.480000000000004,24.8,Yes,2026-09-15T13:18:10.298532
0484-JPBRU,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.087500000000006,996.45,No,2026-09-15T13:18:10.298532
3620-EHIMZ,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.122500000000002,1031.7,No,2026-09-15T13:18:10.298532
6910-HADCM,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,103.0725,76.35,Yes,2026-09-15T13:18:10.298532
8587-XYZSF,Male,0,No,No,40,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),68.2425,3260.1,No,2026-09-15T13:18:10.298532
6818-WOBHJ,Female,1,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),120.96,6127.6,Yes,2026-09-15T13:18:10.298532
3082-YVEKW,Female,0,Yes,Yes,14,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),104.15250000000002,1759.4,No,2026-09-15T13:18:10.298532
4737-AQCPU,Male,0,Yes,Yes,43,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),97.335,5016.65,No,2026-09-15T13:18:10.298532
4853-RULSV,Male,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),140.4,7250.15,Yes,2026-09-15T13:18:10.298532
5766-ZJYBB,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.19,19.4,Yes,2026-09-15T13:18:10.298532
2668-TZSPS,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.6075,20.45,No,2026-09-15T13:18:10.298532
3192-LNKRK,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,113.4675,2909.95,No,2026-09-15T13:18:10.298532
5315-CKEQK,Male,1,Yes,Yes,17,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,68.85000000000001,1381.8,No,2026-09-15T13:18:10.298532
5914-DVBWJ,Female,1,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,115.35750000000002,1505.85,Yes,2026-09-15T13:18:10.298532
7998-ZLXWN,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),27.6075,330.8,No,2026-09-15T13:18:10.298532
6328-ZPBGN,Female,1,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),128.45250000000001,997.65,Yes,2026-09-15T13:18:10.298532
9530-EHPOH,Male,0,No,No,7,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.5625,608,Yes,2026-09-15T13:18:10.298532
1853-UDXBW,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,94.5,70,Yes,2026-09-15T13:18:10.298532
2672-TGEFF,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,119.88000000000001,3340.55,No,2026-09-15T13:18:10.298532
1902-XBTFB,Male,0,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,120.69000000000001,2001.5,Yes,2026-09-15T13:18:10.298532
1640-PLFMP,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,94.8375,70.25,No,2026-09-15T13:18:10.298532
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.2575,19.45,No,2026-09-15T13:18:10.298532
7356-IWLFW,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),108.0,3769.7,No,2026-09-15T13:18:10.298532
9036-CSKBW,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),145.0575,5680.9,No,2026-09-15T13:18:10.298532
8952-WCVCD,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),141.00750000000002,4162.05,No,2026-09-15T13:18:10.298532
